"DeviceProtection","InternetService","MonthlyCharges","OnlineBackup","OnlineSecurity","PaperlessBilling","SeniorCitizen","StreamingMovies","StreamingTV","TechSupport","Churn","Contract","Dependents","Partner","PaymentMethod","TotalCharges","tenure","MultipleLines","PhoneService","customerID","gender" 
"Yes","DSL",79.87,"Yes","No","No",0,"Yes","No","No","No","Month-to-month","No","No","Credit card (automatic)",2048.98,48,"No","Yes","0961-UXEWW","Male"
"Yes","DSL",45.571,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Two year","Yes","Yes","Electronic check",3753.878,36,"No","Yes","1510-FELNU","Female"
"No","Fiber optic",97.2,"Yes","Yes","Yes",1,"No","Yes","No","No","One year","No","Yes","Mailed check",1100.0,31,"No","Yes","9377-GNFQT","Female"
"No","Fiber optic",91.429,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","Yes","No","Bank transfer (automatic)",3717.55,34,"No","Yes","6173-JUENP","Male"
"Yes","Fiber optic",98.0,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Electronic check",4304.08,64,"No","Yes","7631-PYYIN","Male"
"No internet service","No",20.29,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","No","Credit card (automatic)",977.143,16,"Yes","Yes","7276-RMUVT","Female"
"Yes","Fiber optic",109.24,"No","Yes","No",0,"Yes","Yes","No","No","Month-to-month","Yes","No","Credit card (automatic)",3033.47,31,"No","Yes","8925-KPXGM","Male"
"No","Fiber optic",110.9,"No","No","No",0,"Yes","Yes","No","No","Two year","Yes","No","Bank transfer (automatic)",4865.714,53,"No","Yes","4765-BIXQY","Male"
"No","DSL",59.806,"No","No","Yes",0,"No","No","Yes","Yes","Month-to-month","No","Yes","Credit card (automatic)",3571.84,48,"No","Yes","0915-YPXND","Male"
"Yes","Fiber optic",92.0,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","Yes","Yes","Credit card (automatic)",1834.694,72,"No","Yes","3379-ADKOC","Male"
"Yes","DSL",59.439,"No","No","Yes",1,"No","No","Yes","No","Two year","Yes","Yes","Credit card (automatic)",3019.59,57,"Yes","Yes","8030-ACHWT","Male"
"No","Fiber optic",102.878,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Month-to-month","No","No","Electronic check",5719.184,51,"No","Yes","6971-MOYCF","Male"
"No internet service","No",21.07,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Two year","Yes","Yes","Mailed check",501.22,28,"No","Yes","3628-NAHCN","Female"
"Yes","Fiber optic",93.929,"Yes","Yes","Yes",0,"Yes","No","No","No","One year","Yes","Yes","Mailed check",1793.88,23,"Yes","Yes","8099-PGSKZ","Female"
"Yes","DSL",60.622,"Yes","Yes","No",0,"Yes","No","No","No","Two year","No","No","Credit card (automatic)",3682.857142857142,36,"No","Yes","7419-GMWLH","Male"
"Yes","DSL",60.061,"No","Yes","Yes",0,"No","Yes","No","No","One year","No","No","Bank transfer (automatic)",7108.57,70,"Yes","Yes","2475-XPYFC","Male"
"Yes","DSL",55.092,"Yes","Yes","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Electronic check",4680.816,47,"No","Yes","5539-DVHVA","Male"
"Yes","DSL",81.6,"No","No","No",0,"Yes","Yes","Yes","No","Two year","No","Yes","Mailed check",3202.45,34,"Yes","Yes","9833-NXONM","Male"
"Yes","DSL",48.531,"No","Yes","No",0,"Yes","Yes","No","Yes","One year","No","Yes","Credit card (automatic)",146.53,5,"Yes","Yes","9592-EJHPC","Female"
"No","Fiber optic",104.878,"No","No","Yes",1,"Yes","Yes","No","No","Month-to-month","No","No","Mailed check",953.47,17,"No","Yes","6352-GCHVV","Male"
"Yes","Fiber optic",106.35,"No","Yes","Yes",1,"Yes","Yes","No","No","One year","Yes","Yes","Electronic check",7065.306,66,"Yes","Yes","8977-OEZQC","Female"
"No","Fiber optic",96.4,"No","Yes","Yes",0,"Yes","Yes","Yes","No","One year","No","No","Credit card (automatic)",2436.327,30,"No","Yes","9097-NNYRA","Male"
"No","DSL",39.122,"No","No","No",0,"No","No","No","No","One year","Yes","Yes","Bank transfer (automatic)",5187.35,55,"No","Yes","8049-NONBB","Female"
"Yes","DSL",67.73,"Yes","No","Yes",1,"Yes","Yes","No","No","Month-to-month","No","No","Bank transfer (automatic)",196.33,1,"No","Yes","0576-EVWUC","Male"
"No","Fiber optic",96.133,"No","Yes","No",1,"Yes","No","No","Yes","Month-to-month","Yes","Yes","Electronic check",3837.14,43,"Yes","Yes","1502-PFSZX","Female"
"No","DSL",59.4,"No","Yes","Yes",0,"No","Yes","Yes","Yes","Month-to-month","No","No","Electronic check",332.6531,17,"Yes","Yes","8494-RMNZF","Male"
"Yes","DSL",25.3,"Yes","Yes","No",0,"Yes","Yes","Yes","No","Month-to-month","Yes","No","Mailed check",693.06,6,"No","Yes","1294-PHWQA","Female"
"Yes","Fiber optic",88.541,"Yes","No","No",1,"Yes","Yes","Yes","Yes","Month-to-month","No","Yes","Electronic check",1995.918,32,"No","Yes","0676-OZNKL","Female"
"Yes","Fiber optic",109.7,"No","No","Yes",0,"Yes","Yes","No","No","One year","Yes","Yes","Electronic check",6703.265,67,"No","Yes","6567-BXSFP","Male"
"No","Fiber optic",98.84,"No","Yes","No",0,"No","No","Yes","Yes","One year","No","Yes","Mailed check",1296.73,22,"Yes","Yes","4991-GLSFH","Female"
"Yes","DSL",58.97,"Yes","No","Yes",0,"No","No","No","No","Two year","Yes","No","Credit card (automatic)",861.2245,11,"No","Yes","2254-IJLXB","Male"
"Yes","Fiber optic",103.0,"No","Yes","No",0,"Yes","Yes","Yes","Yes","Month-to-month","Yes","Yes","Credit card (automatic)",1042.45,53,"No","Yes","7906-NYOCE","Female"
"No","DSL",86.7,"No","No","Yes",0,"No","Yes","No","Yes","One year","No","No","Credit card (automatic)",2107.35,42,"Yes","Yes","2563-DVVIJ","Female"
"No internet service","No",19.867,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","One year","No","Yes","Bank transfer (automatic)",500.41,8,"Yes","Yes","1310-AKABJ","Female"
"No internet service","No",23.53,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","Yes","One year","Yes","Yes","Mailed check",1008.163,44,"Yes","Yes","6209-SLFJF","Female"
"No internet service","No",19.6,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","Month-to-month","Yes","Yes","Mailed check",5359.59,69,"Yes","Yes","7142-HOODE","Male"
"No internet service","No",24.3,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","One year","No","Yes","Credit card (automatic)",6714.694,61,"Yes","Yes","8916-SXOQD","Female"
"Yes","DSL",51.5,"Yes","Yes","No",0,"No","Yes","No","No","One year","Yes","No","Electronic check",1767.7551,18,"Yes","Yes","8018-GNSFG","Male"
"No","Fiber optic",110.112,"No","No","Yes",0,"Yes","Yes","No","Yes","Month-to-month","No","Yes","Electronic check",2961.633,29,"Yes","Yes","3934-FRUCD","Male"
"Yes","DSL",74.133,"No","Yes","Yes",0,"Yes","No","Yes","Yes","Month-to-month","Yes","No","Credit card (automatic)",3581.2245,35,"No","Yes","9915-FIYRP","Female"
"No","Fiber optic",74.714,"No","No","Yes",1,"No","Yes","Yes","No","Two year","Yes","Yes","Credit card (automatic)",6389.7959,71,"Yes","Yes","4491-WRPGN","Male"
"No","DSL",57.8,"Yes","Yes","Yes",0,"Yes","No","No","No","Two year","No","Yes","Credit card (automatic)",3730.61,34,"Yes","Yes","4034-OYDIB","Female"
"Yes","DSL",50.173,"Yes","Yes","Yes",0,"Yes","No","No","No","Two year","No","No","Bank transfer (automatic)",3748.98,36,"Yes","Yes","0384-QJDEQ","Male"
"No","DSL",68.8,"No","No","Yes",0,"No","Yes","No","No","One year","Yes","Yes","Bank transfer (automatic)",780.82,35,"No","Yes","4874-UBRQX","Female"
"No","DSL",78.7,"No","Yes","Yes",0,"Yes","No","Yes","No","Month-to-month","No","No","Mailed check",944,25,"Yes","Yes","8776-MMEUZ","Female"
"Yes","Fiber optic",79.949,"No","Yes","No",0,"No","No","No","No","Two year","No","No","Electronic check",6380,60,"No","Yes","0514-IRSDQ","Female"
"Yes","Fiber optic",93.51,"No","No","Yes",0,"No","No","Yes","No","Month-to-month","No","No","Electronic check",4871.84,46,"No","Yes","7730-LACGF","Female"
"No","DSL",34.796,"No","No","No",0,"Yes","Yes","Yes","No","Two year","Yes","Yes","Electronic check",163.67,22,"Yes","Yes","3233-CZPZO","Female"
"Yes","DSL",73.929,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","Yes","No","Bank transfer (automatic)",4642.45,72,"Yes","Yes","8309-NVGHG","Male"
"Yes","Fiber optic",96.714,"No","No","Yes",1,"No","No","No","Yes","One year","Yes","No","Bank transfer (automatic)",832.245,19,"Yes","Yes","8105-WSWZN","Male"
"Yes","Fiber optic",107.6,"No","Yes","Yes",0,"Yes","Yes","No","No","Month-to-month","No","No","Electronic check",2633.47,29,"No","Yes","1793-RRMIR","Male"
"No internet service","No",18.847,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Month-to-month","Yes","Yes","Bank transfer (automatic)",1749.388,18,"No","Yes","5350-WRWTJ","Female"
"No","DSL",79.582,"Yes","No","Yes",0,"Yes","No","No","No","Two year","No","No","Electronic check",5915.9184,57,"Yes","Yes","5366-IIQTB","Female"
"Yes","DSL",89.643,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Two year","No","Yes","Electronic check",4167.76,40,"No","Yes","3479-NGPFI","Female"
"No","Fiber optic",105.9,"Yes","No","No",0,"Yes","Yes","Yes","Yes","One year","Yes","Yes","Electronic check",5897.143,65,"Yes","Yes","3796-JGMDM","Female"
"Yes","DSL",29.357,"Yes","No","No",0,"Yes","Yes","No","No","Month-to-month","Yes","No","Mailed check",3510.61,50,"Yes","Yes","1459-ZGTEU","Female"
"No","DSL",79.8,"Yes","Yes","Yes",0,"Yes","No","No","No","Month-to-month","No","No","Electronic check",821.633,42,"No","Yes","9829-RPOVX","Male"
"Yes","Fiber optic",110.337,"No","Yes","No",0,"Yes","Yes","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",306.5306,7,"Yes","Yes","6733-FCCJE","Male"
"No","Fiber optic",74,"No","No","Yes",1,"Yes","No","No","No","One year","Yes","No","Electronic check",5674.694,71,"No","Yes","8236-KXLDE","Male"
"No","DSL",45.0,"Yes","No","No",0,"Yes","Yes","No","Yes","Month-to-month","No","Yes","Mailed check",2883.67,41,"No","Yes","0166-PBQXZ","Male"
"No","Fiber optic",79.755,"Yes","Yes","Yes",0,"Yes","No","Yes","No","Two year","No","Yes","Bank transfer (automatic)",5493.06,57,"Yes","Yes","0532-ERLSA","Male"
"Yes","DSL",54.051,"No","No","Yes",0,"Yes","No","No","No","One year","Yes","No","Credit card (automatic)",5893.0612,54,"Yes","Yes","3263-DRNDJ","Female"
"Yes","Fiber optic",86.85,"No","Yes","Yes",0,"No","No","No","No","Month-to-month","No","Yes","Credit card (automatic)",2421.63,24,"Yes","Yes","4309-FDTRG","Female"
"No","Fiber optic",71.14,"Yes","Yes","Yes",0,"Yes","No","Yes","No","One year","No","Yes","Mailed check",1336.3265306122448,18,"Yes","Yes","6038-UMEJN","Male"
"Yes","DSL",74.235,"No","No","Yes",0,"Yes","No","No","No","Month-to-month","Yes","Yes","Electronic check",4614.29,45,"Yes","Yes","9801-TMNZU","Female"
"No","DSL",58.571,"No","Yes","No",0,"No","No","Yes","No","One year","No","No","Mailed check",618.78,9,"Yes","Yes","1592-DVLTZ","Female"
"No","DSL",71.2,"No","Yes","Yes",0,"No","Yes","Yes","No","One year","No","Yes","Credit card (automatic)",3243.265,32,"Yes","Yes","4906-MYFJH","Female"
"No","DSL",61.3,"Yes","No","No",1,"Yes","No","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",1999.59,27,"Yes","Yes","3847-JMWGG","Female"
"No","Fiber optic",100.8,"No","Yes","Yes",1,"Yes","Yes","No","Yes","Two year","No","No","Bank transfer (automatic)",406.94,4,"No","Yes","9495-HUDGJ","Female"
"No","Fiber optic",106.79,"No","No","Yes",1,"Yes","Yes","No","No","Month-to-month","No","No","Mailed check",6421.22,64,"No","Yes","4603-WQYFF","Male"
"No","Fiber optic",106.3,"Yes","No","Yes",0,"Yes","Yes","No","No","Two year","Yes","No","Mailed check",1629.796,72,"Yes","Yes","2245-ZMGLN","Male"
"No","DSL",76.235,"Yes","No","Yes",0,"Yes","Yes","No","No","Two year","Yes","No","Credit card (automatic)",3005.71,43,"No","Yes","7284-SAZHL","Male"
"Yes","Fiber optic",101.33,"Yes","Yes","No",0,"Yes","Yes","No","No","Month-to-month","No","Yes","Bank transfer (automatic)",563.6735,29,"No","Yes","6842-ZJBXX","Male"
"Yes","Fiber optic",109.296,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Credit card (automatic)",789.388,12,"Yes","Yes","8768-OXVMR","Female"
"Yes","DSL",50.571,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Credit card (automatic)",3400.41,35,"No","Yes","9878-EJKCS","Male"
"No internet service","No",26.49,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","Yes","Credit card (automatic)",881.22,9,"Yes","Yes","8499-VEFAX","Male"
"No internet service","No",19.11,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Two year","No","No","Electronic check",5498.37,49,"Yes","Yes","4878-MQETQ","Male"
"No","DSL",69.459,"Yes","Yes","Yes",0,"Yes","No","No","Yes","Month-to-month","No","Yes","Credit card (automatic)",3366.94,34,"No","Yes","5824-GCOSY","Female"
"No internet service","No",24.602,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","Two year","No","No","Electronic check",5300.408,63,"Yes","Yes","8778-YODBR","Male"
"Yes","Fiber optic",104.3,"No","No","No",0,"Yes","Yes","Yes","No","Two year","No","No","Electronic check",6515.51,68,"No","Yes","6671-BSDKH","Female"
"Yes","DSL",83.21,"Yes","No","No",0,"No","Yes","No","Yes","Two year","No","No","Electronic check",1704.9,71,"Yes","Yes","2994-QTTYY","Female"
"No","Fiber optic",90.57,"No","Yes","Yes",0,"No","No","No","No","Two year","Yes","No","Credit card (automatic)",863.673,43,"No","Yes","8977-TBYGW","Female"
"No","Fiber optic",92,"Yes","Yes","Yes",1,"Yes","Yes","Yes","Yes","One year","No","No","Electronic check",1065.714,54,"No","Yes","0572-ABWVF","Female"
"No","Fiber optic",80.64,"Yes","Yes","No",0,"No","No","No","No","Two year","No","No","Mailed check",973.469,35,"No","Yes","2008-CAEDV","Female"
"Yes","Fiber optic",95.42,"Yes","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","No","Bank transfer (automatic)",2786.94,32,"No","Yes","6308-FVNSG","Female"
"No","DSL",90.0,"No","No","Yes",1,"Yes","No","No","No","One year","No","Yes","Bank transfer (automatic)",2182.45,34,"No","Yes","6652-BSWLT","Female"
"No","DSL",46.143,"Yes","Yes","No",0,"No","No","Yes","No","Two year","No","No","Bank transfer (automatic)",5662.04,58,"Yes","Yes","8344-ZYKSY","Male"
"Yes","DSL",34.62,"Yes","No","No",0,"No","No","Yes","No","Month-to-month","Yes","No","Credit card (automatic)",538.776,22,"Yes","Yes","5438-HSRVH","Male"
"Yes","Fiber optic",86,"No","No","No",0,"No","Yes","Yes","No","One year","No","Yes","Mailed check",457.959,24,"No","Yes","0381-XBJOM","Male"
"Yes","Fiber optic",85.092,"No","Yes","Yes",0,"No","No","No","No","Two year","Yes","Yes","Mailed check",3740.0,66,"Yes","Yes","6178-QVSCE","Female"
"Yes","Fiber optic",106.0,"No","Yes","No",0,"Yes","Yes","No","No","Two year","No","No","Electronic check",7922.449,72,"No","Yes","1070-ZFTHJ","Female"
"Yes","DSL",73.07,"No","No","Yes",0,"Yes","No","Yes","No","One year","Yes","Yes","Bank transfer (automatic)",1715.1,22,"Yes","Yes","1120-DGRJH","Female"
"Yes","Fiber optic",81.4,"Yes","No","Yes",0,"No","No","Yes","No","Two year","No","No","Credit card (automatic)",5233.47,57,"No","Yes","9876-VCXLL","Male"
"No","Fiber optic",95.173,"No","Yes","Yes",1,"No","Yes","No","No","One year","No","Yes","Electronic check",3073.469,36,"No","Yes","2457-RTVKV","Male"
"Yes","Fiber optic",115.57,"Yes","No","No",0,"Yes","Yes","No","No","Two year","No","Yes","Mailed check",1171.02,58,"Yes","Yes","2978-WJJOT","Female"
"No","Fiber optic",96.316,"Yes","Yes","Yes",1,"Yes","Yes","Yes","No","One year","No","No","Credit card (automatic)",1805.31,35,"Yes","Yes","6862-PILPX","Female"
"Yes","DSL",56.898,"No","Yes","Yes",0,"No","Yes","Yes","No","One year","No","Yes","Bank transfer (automatic)",3508.16,46,"Yes","Yes","2452-ZRBXZ","Male"
"Yes","DSL",54.092,"Yes","Yes","Yes",0,"No","Yes","No","No","One year","Yes","No","Mailed check",700.0,39,"Yes","Yes","7762-VQUFW","Male"
"No","DSL",59.21,"No","Yes","Yes",0,"No","Yes","No","Yes","One year","No","No","Electronic check",4571.4286,47,"No","Yes","0840-ENOQG","Female"
"Yes","Fiber optic",102.163,"No","No","No",0,"Yes","Yes","No","Yes","Two year","No","Yes","Electronic check",4621.22,72,"Yes","Yes","3553-GIQZD","Male"
"No","Fiber optic",91.87,"Yes","Yes","Yes",1,"No","No","Yes","No","Month-to-month","Yes","No","Credit card (automatic)",5345.714,54,"No","Yes","2982-GSJSD","Female"
"Yes","Fiber optic",109.2,"No","Yes","No",0,"Yes","Yes","Yes","Yes","Month-to-month","Yes","No","Credit card (automatic)",480.0,23,"Yes","Yes","6520-URLGA","Female"
"Yes","Fiber optic",106.24,"Yes","Yes","Yes",0,"Yes","Yes","Yes","Yes","Month-to-month","No","No","Electronic check",3249.8,66,"Yes","Yes","7982-QZGFC","Male"
"Yes","DSL",75.02,"Yes","No","Yes",0,"Yes","No","No","No","Two year","No","No","Electronic check",7513.47,71,"No","Yes","2560-BJPLL","Female"
"Yes","DSL",60.9,"Yes","Yes","Yes",0,"Yes","Yes","Yes","No","Two year","No","Yes","Credit card (automatic)",4524.898,70,"No","Yes","7809-BMDWC","Male"
"No","DSL",35.153,"No","Yes","No",0,"No","No","No","No","Two year","Yes","No","Bank transfer (automatic)",434.286,2,"Yes","Yes","1132-BKCKO","Female"
"No","Fiber optic",101.745,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Bank transfer (automatic)",1613.0612,72,"No","Yes","0450-NRGLT","Female"
"No internet service","No",19.22,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Month-to-month","No","No","Credit card (automatic)",67.35,12,"No","Yes","4756-ULDSS","Female"
"Yes","DSL",61.592,"Yes","Yes","No",0,"No","No","No","No","One year","Yes","Yes","Credit card (automatic)",3134.694,43,"Yes","Yes","6222-ZGRBW","Male"
"Yes","Fiber optic",82.31,"Yes","Yes","Yes",0,"No","No","Yes","No","One year","No","No","Credit card (automatic)",1188.57,52,"No","Yes","0963-OILTB","Female"
"No internet service","No",26.327,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","One year","No","No","Bank transfer (automatic)",5759.592,61,"No","Yes","6389-BWPTQ","Male"
"No","Fiber optic",84.24,"Yes","No","Yes",1,"No","No","Yes","Yes","Month-to-month","Yes","Yes","Credit card (automatic)",2122.857,27,"No","Yes","9600-OSTGQ","Female"
"No internet service","No",26.459,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","One year","Yes","Yes","Mailed check",4664.08,67,"Yes","Yes","8699-BRMAC","Male"
"No","Fiber optic",109.07,"No","Yes","Yes",1,"Yes","Yes","Yes","No","One year","No","Yes","Credit card (automatic)",4992.2449,72,"Yes","Yes","8765-VWHFJ","Male"
"No","Fiber optic",88.79,"Yes","Yes","Yes",0,"Yes","No","No","No","Two year","No","No","Bank transfer (automatic)",7900.0,72,"Yes","Yes","4291-LDCAB","Male"
"Yes","DSL",72.4,"Yes","No","No",0,"Yes","Yes","Yes","No","Month-to-month","Yes","No","Bank transfer (automatic)",3179.184,40,"No","Yes","8880-TNWYD","Female"
"No","DSL",83.704,"Yes","Yes","Yes",0,"No","No","No","No","One year","Yes","No","Mailed check",934.286,6,"Yes","Yes","2482-KZIAZ","Female"
"Yes","DSL",45.98,"No","No","No",0,"No","No","No","No","One year","No","No","Credit card (automatic)",6131.43,67,"Yes","Yes","2107-GRMKM","Male"
"No","DSL",68.4,"Yes","No","Yes",0,"Yes","Yes","No","Yes","Two year","No","No","Bank transfer (automatic)",232.653,4,"No","Yes","4034-PIUSH","Male"
"Yes","Fiber optic",113.4,"No","Yes","No",0,"Yes","Yes","Yes","Yes","One year","Yes","Yes","Electronic check",1588.57,24,"Yes","Yes","2082-RQADR","Female"
"No","DSL",35.2,"No","Yes","Yes",0,"No","No","Yes","Yes","Month-to-month","Yes","Yes","Bank transfer (automatic)",3573.47,49,"No","Yes","4506-HONDQ","Female"
"No","Fiber optic",88.2,"Yes","No","Yes",1,"Yes","Yes","Yes","No","Month-to-month","No","No","Credit card (automatic)",4292,44,"Yes","Yes","6390-VOTQI","Female"
"Yes","Fiber optic",94,"No","Yes","Yes",0,"No","Yes","No","Yes","Two year","Yes","No","Bank transfer (automatic)",1451.02,72,"No","Yes","6665-MRMLS","Male"
"No","DSL",59.541,"No","Yes","Yes",1,"Yes","No","Yes","Yes","One year","Yes","Yes","Credit card (automatic)",440.41,26,"No","Yes","7210-LDNHL","Male"
"No","Fiber optic",69.9,"Yes","No","Yes",0,"No","No","Yes","No","One year","No","No","Mailed check",840.408,44,"No","Yes","5652-QJWJY","Male"
"No","DSL",60.561,"No","No","Yes",0,"No","Yes","No","No","Two year","Yes","No","Electronic check",1529.8,38,"No","Yes","6731-NWMCL","Female"
"Yes","Fiber optic",99.327,"Yes","Yes","No",0,"No","No","No","No","Month-to-month","Yes","No","Mailed check",830.2,10,"Yes","Yes","8960-ENZMR","Male"
"Yes","Fiber optic",104.15,"Yes","Yes","No",0,"Yes","Yes","Yes","Yes","Month-to-month","No","No","Credit card (automatic)",3865.31,41,"Yes","Yes","4196-SNLAH","Female"
"Yes","DSL",34,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Two year","No","Yes","Credit card (automatic)",6089.39,65,"No","Yes","4602-EQPYN","Female"
"No","Fiber optic",85.0,"Yes","No","Yes",0,"No","Yes","Yes","No","One year","Yes","No","Bank transfer (automatic)",914.694,48,"Yes","Yes","5433-KAHGB","Male"
"No","DSL",65.7,"No","No","Yes",1,"No","Yes","No","No","Month-to-month","No","Yes","Electronic check",1182.45,66,"Yes","Yes","4869-VESFF","Female"
"Yes","Fiber optic",75.602,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Two year","No","Yes","Bank transfer (automatic)",4752.24,72,"No","Yes","2267-CYWEA","Male"
"Yes","Fiber optic",108.582,"No","Yes","Yes",1,"Yes","Yes","Yes","No","Two year","No","No","Bank transfer (automatic)",1296.7347,52,"Yes","Yes","1478-WJTSV","Male"
"No","Fiber optic",104.745,"Yes","Yes","No",0,"Yes","Yes","Yes","No","One year","No","Yes","Credit card (automatic)",6786.5306,72,"No","Yes","4527-TOWZR","Male"
"Yes","DSL",65.7,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Two year","Yes","Yes","Bank transfer (automatic)",7660.0,70,"No","Yes","8946-FASMU","Male"
"Yes","Fiber optic",106.918,"Yes","Yes","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Bank transfer (automatic)",6153.88,66,"No","Yes","8500-PZGNW","Male"
"No","DSL",46.19,"Yes","Yes","No",0,"Yes","Yes","No","No","Month-to-month","No","Yes","Credit card (automatic)",590.2,9,"No","Yes","1085-ZVRJF","Female"
"Yes","DSL",34.67,"Yes","No","No",0,"Yes","Yes","No","Yes","Two year","No","Yes","Electronic check",1090.204,58,"No","Yes","7620-CWUQQ","Male"
"No internet service","No",26.19,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","No","Electronic check",1382.45,68,"No","Yes","7023-NIBQX","Female"
"Yes","Fiber optic",99.051,"No","No","No",0,"No","No","No","No","One year","No","Yes","Bank transfer (automatic)",2639.5918,30,"No","Yes","7520-WSGBQ","Female"
"No","Fiber optic",77.42,"Yes","No","Yes",0,"Yes","No","Yes","No","Two year","No","No","Credit card (automatic)",4907.755,54,"Yes","Yes","1787-TMJDE","Female"
"No","Fiber optic",83.714,"No","No","No",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Electronic check",1497.959,18,"Yes","Yes","9576-LESHR","Female"
"No","Fiber optic",88.0,"Yes","Yes","Yes",0,"No","Yes","Yes","No","One year","No","Yes","Credit card (automatic)",2719.18,46,"No","Yes","0084-GMTSY","Female"
"Yes","Fiber optic",113.622,"No","No","Yes",0,"Yes","Yes","Yes","Yes","One year","No","No","Mailed check",1808.1633,26,"Yes","Yes","9846-COQBN","Male"
"Yes","DSL",78.071,"Yes","No","Yes",0,"Yes","No","Yes","No","Two year","No","No","Electronic check",5903.27,56,"No","Yes","5765-CGTTA","Male"
"Yes","Fiber optic",90.1,"No","No","No",1,"No","Yes","Yes","Yes","Month-to-month","No","No","Bank transfer (automatic)",3451.02,37,"No","Yes","1653-XPNUH","Female"
"Yes","Fiber optic",98.7,"Yes","No","No",0,"Yes","No","No","No","Two year","No","No","Electronic check",7173.469387755103,69,"No","Yes","4307-RGATX","Female"
"No","Fiber optic",70.541,"No","No","No",0,"Yes","Yes","No","Yes","One year","No","No","Bank transfer (automatic)",869.796,41,"Yes","Yes","2422-VSNKK","Female"
"No internet service","No",19.633,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Month-to-month","Yes","No","Mailed check",1181.63,63,"Yes","Yes","9302-HKWJJ","Female"
"Yes","Fiber optic",113.5,"Yes","No","Yes",1,"Yes","Yes","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",7148.98,72,"No","Yes","0406-XGMTN","Female"
"Yes","DSL",65.612,"No","Yes","Yes",0,"No","No","No","No","One year","Yes","Yes","Bank transfer (automatic)",4151.84,40,"No","Yes","3870-TIHBX","Female"
"No","Fiber optic",68.571,"Yes","No","Yes",0,"No","No","Yes","No","Month-to-month","No","No","Bank transfer (automatic)",2680.0,33,"No","Yes","1162-GPUYC","Male"
"Yes","DSL",57.7,"No","No","Yes",0,"Yes","No","No","No","One year","Yes","No","Bank transfer (automatic)",5760,72,"No","Yes","9996-VVIUH","Female"
"No","Fiber optic",81.39,"Yes","No","No",1,"Yes","Yes","No","No","One year","Yes","Yes","Bank transfer (automatic)",6384.0816,67,"Yes","Yes","3094-YDUJG","Female"
"No internet service","No",24.0,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","Month-to-month","Yes","Yes","Mailed check",554.69,27,"Yes","Yes","7327-AUIAR","Male"
"Yes","DSL",75.6,"Yes","Yes","Yes",0,"Yes","No","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",2259.59,37,"Yes","Yes","8572-PTLET","Male"
"No","Fiber optic",113.49,"No","No","Yes",0,"Yes","Yes","No","No","Two year","Yes","Yes","Electronic check",1389.388,10,"Yes","Yes","5669-AYQZI","Male"
"No","Fiber optic",73.235,"Yes","No","Yes",1,"No","Yes","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",4674.29,40,"Yes","Yes","3303-SPYKM","Female"
"Yes","DSL",65.5,"No","No","Yes",1,"No","Yes","No","No","Two year","Yes","No","Credit card (automatic)",4139.18,43,"No","Yes","6927-FZZMH","Female"
